20250510_172253,2025-05-10 17:22:56,1,72,100
20250510_172253,2025-05-10 17:23:03,2,22,100
20250510_172253,2025-05-10 17:23:09,3,0,100
20250510_172525,2025-05-10 17:25:28,1,88,100
20250510_172525,2025-05-10 17:25:42,2,66,100
20250510_172525,2025-05-10 17:25:48,3,33,100
20250510_172525,2025-05-10 17:26:06,4,100,100
20250510_172525,2025-05-10 17:26:19,5,0,100
20250510_172525,2025-05-10 17:26:32,1,75,100
20250510_172525,2025-05-10 17:26:38,2,49,100
20250510_172525,2025-05-10 17:26:43,3,12,100
20250510_172525,2025-05-10 17:26:48,4,0,100
20250510_172838,2025-05-10 17:28:41,1,75,100
20250510_172838,2025-05-10 17:28:48,2,33,100
20250510_172838,2025-05-10 17:28:55,3,5,100
20250510_172838,2025-05-10 17:29:09,4,54,100
20250510_172838,2025-05-10 17:29:14,5,0,100
20250510_173228,2025-05-10 17:32:31,1,88,100
20250510_173228,2025-05-10 17:32:36,2,63,100
20250510_173228,2025-05-10 17:32:42,3,9,100
20250510_173228,2025-05-10 17:32:48,4,0,100
20250510_173427,2025-05-10 17:34:30,1,68,100
20250510_173427,2025-05-10 17:34:36,2,22,100
20250510_173427,2025-05-10 17:34:40,3,0,100
20250510_174903,2025-05-10 17:49:08,1,70,100
20250510_174903,2025-05-10 17:49:14,2,22,100
20250510_174903,2025-05-10 17:49:19,3,0,100
20250510_174926,2025-05-10 17:49:29,1,85,100
20250510_174926,2025-05-10 17:49:35,2,65,100
20250510_174926,2025-05-10 17:49:42,3,7,100
20250510_174926,2025-05-10 17:49:47,4,0,100
20250511_170900,2025-05-11 17:09:04,1,69,100
20250511_170900,2025-05-11 17:09:18,2,47,100
20250511_170900,2025-05-11 17:09:33,3,37,100
20250511_170900,2025-05-11 17:09:48,4,87,100
20250511_170900,2025-05-11 17:10:01,5,0,100
